package_id,requirement_id,obligation,status,critical_category,condition,lifecycle,citations,supersedes,superseded_by,change_citations,unresolved_ambiguity
SYNTHETIC-WEB-001,R001,Bidders must be registered to conduct business in Example State.,mandatory,eligibility,,active,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 3, ""section"": ""1"", ""excerpt"": ""Bidders must be registered to conduct business in Example State.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R002,Proposals must be submitted by 2025-02-01 at 17:00 UTC.,mandatory,deadline,,superseded,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 5, ""section"": ""2"", ""excerpt"": ""Proposals must be submitted by 2025-02-01 at 17:00 UTC.""}]",[],"[""R008""]",[],[]
SYNTHETIC-WEB-001,R003,Proposals must include a fixed-price budget.,mandatory,submission,,active,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 7, ""section"": ""3"", ""excerpt"": ""Proposals must include a fixed-price budget.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R004,"If subcontractors are used, proposals must include each subcontractor's role.",mandatory,submission,If subcontractors are used,active,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 8, ""section"": ""3"", ""excerpt"": ""If subcontractors are used, proposals must include each subcontractor's role.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R005,Bidders must submit proposals through the procurement portal.,mandatory,submission,,unresolved,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 10, ""section"": ""4"", ""excerpt"": ""Bidders must submit proposals through the procurement portal.""}]",[],[],[],"[""Different assertions in the same section across sources; authority needs review""]"
SYNTHETIC-WEB-001,R006,Teams should describe their approach to accessibility testing.,advisory,,,active,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 12, ""section"": ""5"", ""excerpt"": ""Teams should describe their approach to accessibility testing.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R007,Late proposals will be rejected and shall receive no evaluation.,mandatory,disqualification,,active,"[{""document_id"": ""RFP"", ""source_file"": ""original.txt"", ""source_version"": ""1"", ""source_sha256"": ""7491cb902b0dbd55bcd8827c22a960322923bf44b088c29d537e2f6999c0a2a3"", ""page"": 1, ""line"": 14, ""section"": ""6"", ""excerpt"": ""Late proposals will be rejected and shall receive no evaluation.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R008,Proposals must be submitted by 2025-02-05 at 17:00 UTC.,mandatory,deadline,,active,"[{""document_id"": ""A1"", ""source_file"": ""amendment.txt"", ""source_version"": ""1"", ""source_sha256"": ""e44c85b38b01d698418aa1b5f28ded62e1bff594bd4aa1f17e76f8bcac0738f8"", ""page"": 1, ""line"": 3, ""section"": ""2"", ""excerpt"": ""Proposals must be submitted by 2025-02-05 at 17:00 UTC.""}]","[""R002""]",[],"[{""document_id"": ""A1"", ""source_file"": ""amendment.txt"", ""source_version"": ""1"", ""source_sha256"": ""e44c85b38b01d698418aa1b5f28ded62e1bff594bd4aa1f17e76f8bcac0738f8"", ""page"": 1, ""line"": 2, ""section"": ""2"", ""excerpt"": ""Section 2. Submission deadline (replaces RFP section 2)""}]",[]
SYNTHETIC-WEB-001,R009,Bidders must acknowledge amendment A1 in their response.,mandatory,amendment_acknowledgment,,active,"[{""document_id"": ""A1"", ""source_file"": ""amendment.txt"", ""source_version"": ""1"", ""source_sha256"": ""e44c85b38b01d698418aa1b5f28ded62e1bff594bd4aa1f17e76f8bcac0738f8"", ""page"": 1, ""line"": 5, ""section"": ""8"", ""excerpt"": ""Bidders must acknowledge amendment A1 in their response.""}]",[],[],[],[]
SYNTHETIC-WEB-001,R010,Bidders must submit proposals by email.,mandatory,submission,,unresolved,"[{""document_id"": ""QA"", ""source_file"": ""qa.txt"", ""source_version"": ""1"", ""source_sha256"": ""9ad37f9c94ef93c8a4ec6e296e0defd90c30f3d46347483f630dfb6653e224e8"", ""page"": 1, ""line"": 3, ""section"": ""4"", ""excerpt"": ""Bidders must submit proposals by email.""}]",[],[],[],"[""Different assertions in the same section across sources; authority needs review""]"
SYNTHETIC-WEB-001,R011,Bidders may attach screenshots as optional examples.,advisory,,,active,"[{""document_id"": ""QA"", ""source_file"": ""qa.txt"", ""source_version"": ""1"", ""source_sha256"": ""9ad37f9c94ef93c8a4ec6e296e0defd90c30f3d46347483f630dfb6653e224e8"", ""page"": 1, ""line"": 5, ""section"": ""9"", ""excerpt"": ""Bidders may attach screenshots as optional examples.""}]",[],[],[],[]
